ts_code,end_date,current_eps,predicted_eps,predicted_eps_growth,predicted_rev_growth,n_analysts,eps_dispersion
600971.SH,20250930,-0.0831,-0.0441,-0.4699,-0.258,15,0.0019
300306.SZ,20250930,0.18,0.3574,0.9858,-0.0536,2,0.0302
603208.SH,20250930,-0.24,-0.116,-0.5169,-0.4209,3,0.0004
002368.SZ,20250930,0.0065,0.0034,-0.4723,0.1551,5,0.0001
002086.SZ,20250930,-0.05,-0.0264,-0.4717,-0.0319,7,0.0006
300020.SZ,20250930,-0.68,-0.4298,-0.3679,-0.7807,8,0.0204
600156.SH,20250930,-0.0384,-0.0213,-0.4455,0.2955,5,0.0028
002271.SZ,20250930,0.34,0.6592,0.9389,-0.0481,3,0.0521
300758.SZ,20250930,0.18,0.3594,0.9969,-0.0129,4,0.0208
601016.SH,20250930,0.116,0.2049,0.7663,-0.1134,1,0.0011
301081.SZ,20250930,0.07,0.042,-0.4007,0.2229,3,0.0028
601995.SH,20250930,1.24,2.5417,1.0498,0.543,7,0.1875
002949.SZ,20250930,0.3601,0.7291,1.0247,0.1397,4,0.0482
002484.SZ,20250930,0.6338,1.3486,1.1278,0.1682,11,0.041
688400.SH,20250930,0.29,0.4382,0.511,0.2892,3,0.0054
300546.SZ,20250930,0.1,0.1986,0.9856,0.1041,4,0.0142
688691.SH,20250930,-0.79,-0.3945,-0.5006,-0.4493,3,0.0232
603220.SH,20250930,0.1959,0.2935,0.4984,-0.0047,12,0.0074
300360.SZ,20250930,0.93,1.8268,0.9643,-0.1392,1,0.0053
002821.SZ,20250930,2.18,1.2733,-0.4159,0.1165,1,0.0515
003004.SZ,20250930,-0.0464,-0.0243,-0.4764,0.3182,7,0.0012
300776.SZ,20250930,1.82,1.983,0.0895,0.2599,4,0.108
000698.SZ,20250930,0.1085,0.23,1.1195,0.1033,1,0.0022
002641.SZ,20250930,0.04,0.0219,-0.4525,-0.0951,1,0.0004
688107.SH,20250930,-0.4771,-0.2819,-0.409,-0.2447,1,0.0064
002611.SZ,20250930,0.43,0.8579,0.9951,0.0024,3,0.0164
688616.SH,20250930,0.38,0.6711,0.766,-0.1432,1,0.0603
300919.SZ,20250930,1.22,1.586,0.3,0.0746,18,0.0438
688508.SH,20250930,1.39,2.7874,1.0053,0.2466,5,0.048
300765.SZ,20250930,-0.0173,-0.0086,-0.5007,0.0608,19,0.0005
002938.SZ,20250930,1.04,2.1888,1.1046,0.1524,8,0.069
000908.SZ,20250930,-0.0507,-0.0263,-0.4809,-0.0991,2,0.0016
688765.SH,20250930,-0.45,-0.2371,-0.473,-0.064,5,0.0079
603262.SH,20250930,0.32,0.3956,0.2361,0.1039,8,0.0006
688425.SH,20250930,0.19,0.1236,-0.3494,-0.0409,3,0.0017
300390.SZ,20250930,0.04,0.0226,-0.4353,0.0222,5,0.0006
688779.SH,20250930,-0.01,-0.0045,-0.5514,0.3187,6,0.0002
688472.SH,20250930,0.27,0.2218,-0.1784,-0.0695,1,0.0111
600276.SH,20250930,0.89,1.8368,1.0638,0.1238,11,0.0135
301090.SZ,20250930,-0.0644,-0.0252,-0.609,-0.2549,1,0.0005
301172.SZ,20250930,0.0994,0.1472,0.4809,0.17,10,0.0105
603861.SH,20250930,0.29,0.6111,1.1074,-0.0819,6,0.032
300253.SZ,20250930,-0.1093,-0.0613,-0.4392,-0.2969,7,0.0033
920493.BJ,20250930,0.14,0.0696,-0.5032,0.6775,11,0.0028
002229.SZ,20250930,0.0464,0.0423,-0.0887,1.3715,17,0.0019
000612.SZ,20250930,0.76,1.5381,1.0238,0.0587,6,0.0624
600580.SH,20250930,0.53,0.7463,0.4082,-0.0495,1,0.0147
603214.SH,20250930,0.3778,0.4398,0.1641,0.0742,2,0.021
600111.SH,20250930,0.4264,0.8723,1.0458,0.3996,9,0.0334
002708.SZ,20250930,0.1143,0.2314,1.0241,0.0494,1,0.004
300707.SZ,20250930,0.1834,0.2349,0.2806,-0.1022,8,0.0023
300612.SZ,20250930,-0.1062,-0.0614,-0.4218,-0.4647,6,0.0066
300400.SZ,20250930,0.36,0.7478,1.0771,0.0495,4,0.0013
601601.SH,20250930,4.75,7.4775,0.5742,0.0777,8,0.3261
301589.SZ,20250930,4.89,8.6674,0.7725,0.0135,11,0.0038
603682.SH,20250930,0.18,0.365,1.0276,-0.0383,3,0.0178
600966.SH,20250930,0.0982,0.0608,-0.3806,0.0552,4,0.0014
601336.SH,20250930,10.53,21.7166,1.0624,0.2773,13,1.6712
600751.SH,20250930,0.0334,0.0615,0.8426,0.2875,2,0.0028
300541.SZ,20250930,0.2,0.3892,0.9459,0.4724,4,0.0177
605208.SH,20250930,0.15,0.2131,0.4209,0.5075,6,0.0153
600281.SH,20250930,0.1339,0.2606,0.946,0.2683,5,0.0256
000895.SZ,20250930,1.1426,2.2348,0.9559,-0.0044,22,0.2049
688084.SH,20250930,0.14,0.163,0.1644,2.1329,2,0.0122
603109.SH,20250930,0.8141,1.6493,1.0259,0.1646,6,0.0619
688582.SH,20250930,0.6,1.1847,0.9746,0.4889,1,0.055
603217.SH,20250930,0.733,0.9919,0.3532,-0.0447,2,0.028
000638.SZ,20250930,-0.0276,-0.0167,-0.3935,0.6775,6,0.0001
000721.SZ,20250930,-0.1476,-0.0892,-0.3956,-0.1868,1,0.0034
605338.SH,20250930,0.84,1.6776,0.9971,0.1212,17,0.0127
002098.SZ,20250930,0.4662,0.6463,0.3864,0.1189,2,0.0597
002528.SZ,20250930,-0.0619,-0.0391,-0.3682,-0.5032,10,0.0021
300422.SZ,20250930,-0.4,-0.1917,-0.5208,0.2313,6,0.0064
300537.SZ,20250930,0.0432,0.0196,-0.5466,-0.139,2,0.0005
000573.SZ,20250930,0.1162,0.129,0.11,-0.1804,5,0.0003
603590.SH,20250930,0.81,1.6117,0.9898,0.0764,2,0.119
601156.SH,20250930,1.26,2.1201,0.6826,-0.0269,10,0.3741
002274.SZ,20250930,-0.0089,-0.0042,-0.5232,-0.2426,2,0.0002
300612.SZ,20250930,-0.1062,-0.0502,-0.5271,-0.4452,9,0.0001
688153.SH,20250930,0.02,0.0142,-0.2915,0.0343,5,0.0008
000037.SZ,20250930,-0.0331,-0.0164,-0.5051,-0.2749,1,0.0011
000798.SZ,20250930,0.146,0.1131,-0.2254,-0.0547,1,0.0062
002357.SZ,20250930,0.4965,1.0888,1.193,-0.05,5,0.0343
001300.SZ,20250930,-0.0189,-0.0102,-0.4627,-0.1833,1,0.0
301321.SZ,20250930,-0.0501,-0.0237,-0.5279,0.4083,2,0.001
603520.SH,20250930,0.07,0.0846,0.2088,0.0488,6,0.0061
300501.SZ,20250930,0.26,0.1532,-0.4107,-0.0432,3,0.0074
601020.SH,20250930,0.98,2.0719,1.1142,0.5222,10,0.1905
003023.SZ,20250930,0.4147,0.5194,0.2524,-0.1434,1,0.0304
603196.SH,20250930,0.1829,0.2803,0.5324,-0.1024,1,0.0013
300837.SZ,20250930,0.5188,0.4211,-0.1884,-0.0961,10,0.0049
920260.BJ,20250930,0.24,0.1487,-0.3805,-0.0559,6,0.0043
000598.SZ,20250930,0.5918,1.1384,0.9236,0.0787,1,0.0029
603933.SH,20250930,0.1963,0.1833,-0.0662,0.17,4,0.0029
300340.SZ,20250930,-0.4995,-0.3054,-0.3887,-0.1827,1,0.02
002234.SZ,20250930,-0.66,-0.3318,-0.4973,-0.0578,2,0.0233
601500.SH,20250930,0.07,0.0444,-0.3659,0.2442,7,0.0021
601186.SH,20250930,0.96,2.0148,1.0988,-0.0581,3,0.0775
600467.SH,20250930,0.0185,0.0343,0.8535,-0.0253,8,0.003
920419.BJ,20250930,0.45,0.3338,-0.2582,0.0974,8,0.0268
001299.SZ,20250930,0.27,0.5736,1.1246,0.2161,5,0.0009
600503.SH,20250930,-0.0163,-0.0096,-0.4117,-0.3649,6,0.0
300813.SZ,20250930,0.12,0.1456,0.2131,-0.1191,23,0.0118
000707.SZ,20250930,-0.0534,-0.0269,-0.4972,-0.2062,6,0.0004
688049.SH,20250930,0.87,1.6969,0.9505,0.5571,1,0.0451
002236.SZ,20250930,1.09,0.5836,-0.4646,0.0688,11,0.0459
301009.SZ,20250930,0.105,0.151,0.4377,0.0277,8,0.0031
002134.SZ,20250930,0.06,0.0341,-0.432,0.26,2,0.0
002495.SZ,20250930,0.0119,0.0142,0.1899,-0.0794,9,0.0003
301617.SZ,20250930,0.9912,0.5838,-0.411,0.0703,1,0.0079
603606.SH,20250930,1.33,2.75,1.0677,0.14,15,0.0822
603630.SH,20250930,0.06,0.0298,-0.5032,-0.0566,2,0.0006
920718.BJ,20250930,0.41,0.2649,-0.354,-0.0138,11,0.0124
301015.SZ,20250930,0.91,0.6651,-0.2691,-0.0622,12,0.0266
001378.SZ,20250930,0.4462,0.5748,0.2883,-0.0291,5,0.0357
603042.SH,20250930,-0.2266,-0.1083,-0.522,-0.06,1,0.0007
603151.SH,20250930,0.6291,1.2184,0.9368,1.5799,3,0.1022
002516.SZ,20250930,0.092,0.1822,0.9808,0.1394,1,0.0247
301275.SZ,20250930,0.7624,0.3883,-0.4907,-0.1526,3,0.0025
300647.SZ,20250930,0.0,0.0,-0.4708,0.185,3,0.0
603727.SH,20250930,0.0844,0.0401,-0.5248,-0.2372,2,0.0003
300599.SZ,20250930,-0.06,-0.0346,-0.4233,-0.0535,3,0.003
600089.SH,20250930,1.0924,0.5407,-0.5051,0.029,3,0.0227
300027.SZ,20250930,-0.04,-0.0202,-0.4948,-0.4205,1,0.0
603689.SH,20250930,0.54,0.4402,-0.1849,-0.0638,4,0.0041
002356.SZ,20250930,0.0395,0.0814,1.0616,1.8903,6,0.0027
688001.SH,20250930,0.34,0.6762,0.9889,0.2774,1,0.0134
002895.SZ,20250930,1.7132,3.4231,0.9981,0.4701,6,0.1009
688361.SH,20250930,-0.05,-0.0212,-0.5753,0.457,7,0.0008
688360.SH,20250930,0.42,0.2482,-0.4091,0.0757,1,0.0145
603901.SH,20250930,0.27,0.4486,0.6617,0.1784,5,0.0013
600992.SH,20250930,-0.2512,-0.1333,-0.4694,-0.0577,4,0.0126
600258.SH,20250930,0.6759,1.3829,1.046,-0.017,3,0.0171
300653.SZ,20250930,0.37,0.6347,0.7155,-0.0124,5,0.0377
600241.SH,20250930,0.01,0.0047,-0.5265,-0.084,5,0.0001
600257.SH,20250930,-0.0012,-0.0007,-0.4521,-0.1556,7,0.0001
300918.SZ,20250930,0.27,0.5752,1.1304,-0.0069,5,0.001
688516.SH,20250930,1.24,1.0956,-0.1164,-0.3043,5,0.0247
603836.SH,20250930,0.17,0.0952,-0.4397,-0.1818,5,0.0003
300780.SZ,20250930,-0.2213,-0.1226,-0.4462,0.0918,5,0.0017
002529.SZ,20250930,-0.3476,-0.2013,-0.4209,1.2961,29,0.0038
002634.SZ,20250930,-2.01,-0.9192,-0.5427,-0.5663,7,0.0272
002518.SZ,20250930,0.77,1.6058,1.0855,0.1872,10,0.1826
603256.SH,20250930,0.16,0.3331,1.0821,0.3772,1,0.001
002636.SZ,20250930,0.238,0.4833,1.0307,0.1226,1,0.0408
300481.SZ,20250930,0.37,0.7415,1.0042,-0.0324,12,0.0095
300778.SZ,20250930,-0.0968,-0.0508,-0.4748,-0.3951,7,0.0011
605177.SH,20250930,-0.63,-0.2989,-0.5256,-0.3598,2,0.0018
688013.SH,20250930,0.9,1.7932,0.9924,0.1624,5,0.0661
300967.SZ,20250930,0.9846,2.0698,1.1022,0.6114,19,0.0086
000938.SZ,20250930,0.4908,1.0065,1.0508,0.3877,21,0.0006
301033.SZ,20250930,1.15,2.388,1.0765,0.3009,2,0.1044
300482.SZ,20250930,0.28,0.1505,-0.4624,-0.2502,1,0.0018
603768.SH,20250930,-0.29,-0.1655,-0.4293,0.0854,2,0.0087
600520.SH,20250930,0.03,0.0607,1.025,0.0391,2,0.0042
688162.SH,20250930,0.38,0.2385,-0.3724,0.3066,1,0.0128
002556.SZ,20250930,0.1792,0.2855,0.593,-0.0233,1,0.0092
603565.SH,20250930,0.67,0.5335,-0.2038,-0.061,3,0.022
600358.SH,20250930,-0.0629,-0.0291,-0.5373,0.15,2,0.0007
688015.SH,20250930,0.45,0.9063,1.0139,0.1032,1,0.0463
605336.SH,20250930,0.02,0.0116,-0.4192,-0.4233,3,0.0004
000423.SZ,20250930,1.9781,3.4102,0.724,0.0105,15,0.1583
301269.SZ,20250930,0.0166,0.0099,-0.4007,0.0281,7,0.0001
000065.SZ,20250930,0.46,0.8089,0.7585,-0.2836,7,0.0477
000697.SZ,20250930,-0.2006,-0.1049,-0.4771,0.0434,30,0.0038
001379.SZ,20250930,0.3161,0.688,1.1764,0.1579,5,0.0013
001207.SZ,20250930,1.16,2.2544,0.9435,0.1229,2,0.0464
300777.SZ,20250930,0.6613,0.6986,0.0564,0.2711,1,0.0287
603122.SH,20250930,-0.03,-0.0134,-0.5524,-0.1854,2,0.0001
002925.SZ,20250930,0.24,0.4868,1.0284,0.1745,8,0.0075
603722.SH,20250930,-0.17,-0.0841,-0.5054,-0.0163,2,0.0028
002194.SZ,20250930,-0.015,-0.0086,-0.4281,0.0002,8,0.0007
002347.SZ,20250930,-0.1064,-0.0512,-0.5192,0.1006,5,0.0001
301059.SZ,20250930,0.23,0.4536,0.9721,0.2017,21,0.0105
920957.BJ,20250930,0.02,0.0114,-0.4281,0.0953,9,0.0002
600187.SH,20250930,-0.01,-0.005,-0.5016,0.0478,5,0.0001
002645.SZ,20250930,0.3397,0.4306,0.2677,0.3744,12,0.0017
600109.SH,20250930,0.461,0.9025,0.9577,0.435,1,0.0627
920118.BJ,20250930,0.4273,0.2328,-0.4553,0.042,2,0.0067
600620.SH,20250930,0.0386,0.0522,0.3519,1.2942,16,0.001
300149.SZ,20250930,0.0142,0.0075,-0.4725,0.1722,10,0.0
600171.SH,20250930,0.29,0.4504,0.553,0.2519,1,0.0176
688581.SH,20250930,2.1824,1.9092,-0.1252,0.0676,3,0.001
000631.SZ,20250930,0.03,0.0448,0.4939,-0.2264,6,0.0007
688118.SH,20250930,-0.479,-0.2278,-0.5245,-0.2781,4,0.0162
601068.SH,20250930,0.0078,0.0042,-0.4654,-0.0707,5,0.0002
600962.SH,20250930,0.1088,0.2173,0.9968,0.2769,18,0.0303
300929.SZ,20250930,-0.01,-0.0055,-0.4497,0.5352,14,0.0002
000548.SZ,20250930,0.11,0.1762,0.602,-0.2716,3,0.0042
600179.SH,20250930,0.1569,0.183,0.1664,0.1948,1,0.0083
300473.SZ,20250930,0.5248,1.0788,1.0556,0.0362,2,0.0017
603010.SH,20250930,0.09,0.0966,0.0729,0.2331,2,0.0016
603595.SH,20250930,-0.06,-0.0302,-0.4968,0.0336,9,0.0005
000959.SZ,20250930,0.1229,0.245,0.9937,-0.0606,17,0.0275
600128.SH,20250930,0.2015,0.4187,1.0781,0.0971,3,0.0062
603309.SH,20250930,0.65,1.2973,0.9958,0.1132,2,0.0797
601949.SH,20250930,0.1251,0.0698,-0.4419,-0.1285,3,0.0027
001267.SZ,20250930,0.0665,0.0632,-0.0501,2.0297,3,0.0016
002255.SZ,20250930,0.3848,0.8007,1.0808,-0.0581,17,0.0049
688721.SH,20250930,0.39,0.2222,-0.4303,-0.0399,1,0.0023
600037.SH,20250930,0.0012,0.0006,-0.5248,-0.1272,18,0.0001
601677.SH,20250930,1.12,2.2754,1.0316,0.0585,6,0.2028
603177.SH,20250930,0.06,0.0496,-0.1728,0.1949,9,0.0039
603661.SH,20250930,2.04,4.1776,1.0478,0.0844,2,0.2122
301040.SZ,20250930,-0.6612,-0.3175,-0.5199,0.1962,12,0.0098
300915.SZ,20250930,-0.1273,-0.0669,-0.4744,-0.0618,1,0.0014
688627.SH,20250930,0.44,0.8401,0.9093,0.3207,7,0.0017
300610.SZ,20250930,0.25,0.3714,0.4856,-0.0158,6,0.0002
688098.SH,20250930,0.0,0.0,-0.5042,0.0077,5,0.0
920062.BJ,20250930,0.11,0.0474,-0.5694,0.2494,5,0.0031
300770.SZ,20250930,2.24,4.5066,1.0119,0.0464,1,0.2543
300781.SZ,20250930,0.1671,0.1702,0.0188,0.0938,1,0.0031
003032.SZ,20250930,-0.0212,-0.0104,-0.5077,0.4708,1,0.0
688234.SH,20250930,0.0,0.0,-0.4723,-0.1541,1,0.0
603528.SH,20250930,-0.0283,-0.0146,-0.4828,-0.3046,11,0.0005
002136.SZ,20250930,-0.2156,-0.1198,-0.4441,-0.0404,2,0.0062
603023.SH,20250930,0.0013,0.0008,-0.4212,1.3924,2,0.0
000417.SZ,20250930,0.2208,0.1419,-0.3575,0.0002,2,0.0112
300351.SZ,20250930,0.1836,0.1291,-0.2966,0.1644,4,0.0033
688371.SH,20250930,0.09,0.1834,1.0373,0.0692,2,0.0082
000812.SZ,20250930,0.0154,0.0076,-0.5094,-0.0165,5,0.0014
002301.SZ,20250930,0.19,0.3247,0.7091,-0.0342,1,0.0026
002580.SZ,20250930,0.35,0.3498,-0.0005,0.1661,2,0.0088
300046.SZ,20250930,0.2397,0.4303,0.7953,0.1401,8,0.0237
301265.SZ,20250930,0.18,0.364,1.0225,0.5448,10,0.0155
301061.SZ,20250930,3.02,6.3189,1.0924,0.4136,3,0.3468
601077.SH,20250930,0.92,1.3599,0.4781,-0.0482,1,0.0061
301337.SZ,20250930,-0.06,-0.0305,-0.492,0.234,2,0.0029
300738.SZ,20250930,0.148,0.3126,1.1123,0.1215,10,0.006
300012.SZ,20250930,0.4855,0.9222,0.8995,0.1021,3,0.0701
300085.SZ,20250930,-0.0841,-0.0369,-0.5616,-0.1799,13,0.0003
300339.SZ,20250930,0.1,0.051,-0.4904,0.1554,7,0.0026
300225.SZ,20250930,0.037,0.0742,1.0057,0.0828,8,0.0075
000989.SZ,20250930,0.1791,0.141,-0.2125,-0.2365,2,0.0015
300508.SZ,20250930,0.683,1.1752,0.7206,0.1265,6,0.0473
000534.SZ,20250930,0.3402,0.603,0.7726,0.2399,9,0.0151
002793.SZ,20250930,0.0216,0.0119,-0.4475,-0.0896,6,0.0004
300504.SZ,20250930,-0.2038,-0.1226,-0.3986,-0.303,14,0.0063
300561.SZ,20250930,0.0046,0.0022,-0.5315,0.1169,9,0.0001
603926.SH,20250930,0.33,0.6656,1.017,-0.0171,3,0.0524
002700.SZ,20250930,0.1534,0.3088,1.0131,-0.0469,5,0.0206
600360.SH,20250930,0.16,0.3239,1.0243,0.1435,7,0.0116
300622.SZ,20250930,0.39,0.3492,-0.1046,0.1435,3,0.0251
300404.SZ,20250930,0.0571,0.0777,0.3603,0.0998,1,0.005
300819.SZ,20250930,0.35,0.2298,-0.3433,-0.0661,15,0.0028
920790.BJ,20250930,0.09,0.0587,-0.3473,-0.2183,1,0.008
000519.SZ,20250930,-0.0422,-0.0236,-0.4398,0.2779,7,0.0002
300373.SZ,20250930,1.8557,3.7307,1.0104,0.2205,2,0.2647
603197.SH,20250930,0.93,0.5303,-0.4297,0.2449,4,0.0084
600376.SH,20250930,-1.2675,-0.7047,-0.444,0.6048,4,0.0337
603797.SH,20250930,0.2,0.2341,0.1704,-0.1023,12,0.0083
603303.SH,20250930,0.4216,0.8393,0.9908,0.0424,4,0.1091
688332.SH,20250930,1.75,3.4259,0.9577,0.0779,9,0.035
002534.SZ,20250930,0.24,0.1704,-0.2899,-0.0876,7,0.0089
300237.SZ,20250930,-0.13,-0.0617,-0.5255,0.0824,3,0.0031
600831.SH,20250930,-0.85,-0.4994,-0.4125,-0.2158,4,0.0027
301501.SZ,20250930,1.3263,0.6591,-0.503,0.2287,4,0.0261
002772.SZ,20250930,0.545,1.0762,0.9747,0.0438,11,0.0721
002048.SZ,20250930,0.109,0.0563,-0.4831,0.0038,2,0.0019
600678.SH,20250930,0.0919,0.1833,0.994,0.8393,2,0.0039
600867.SH,20250930,0.61,0.7215,0.1828,0.4478,7,0.0064
002008.SZ,20250930,0.84,0.9296,0.1067,0.2586,5,0.0269
600715.SH,20250930,0.001,0.0005,-0.5238,-0.1618,7,0.0
603138.SH,20250930,-0.256,-0.1308,-0.489,0.2057,11,0.0004
601369.SH,20250930,0.36,0.7282,1.0228,-0.0487,3,0.0271
688155.SH,20250930,1.64,3.373,1.0567,0.0577,2,0.1186
300894.SZ,20250930,-0.54,-0.2811,-0.4794,-0.4411,4,0.0063
688029.SH,20250930,2.72,4.6065,0.6936,0.2307,14,0.2053
002078.SZ,20250930,0.89,1.7982,1.0205,-0.0756,22,0.0277
002114.SZ,20250930,-0.3,-0.1677,-0.4412,-0.0471,2,0.0101
920926.BJ,20250930,0.24,0.1029,-0.5713,0.0125,23,0.0008
603131.SH,20250930,-0.006,-0.0027,-0.5537,-0.1402,1,0.0001
605138.SH,20250930,0.07,0.1013,0.4474,-0.0491,15,0.0096
300197.SZ,20250930,-0.3138,-0.2056,-0.3448,-0.2862,3,0.0061
301678.SZ,20250930,0.59,0.43,-0.2712,0.1931,1,0.0051
300385.SZ,20250930,-0.4733,-0.2807,-0.4069,-0.3309,6,0.0164
002439.SZ,20250930,-0.1775,-0.0815,-0.5411,-0.3427,5,0.0043
603278.SH,20250930,0.07,0.1365,0.95,-0.0741,2,0.0091
300364.SZ,20250930,-0.714,-0.355,-0.5028,0.2366,1,0.02
002695.SZ,20250930,0.181,0.3053,0.6865,-0.0174,4,0.0013
600030.SH,20250930,1.51,3.0676,1.0315,0.3505,5,0.0866
301519.SZ,20250930,-0.12,-0.0636,-0.4698,-0.0353,4,0.0009
000948.SZ,20250930,-0.0277,-0.0137,-0.5066,0.2331,12,0.0008
688151.SH,20250930,0.01,0.0049,-0.507,-0.2331,7,0.0002
600438.SH,20250930,-1.1706,-0.6361,-0.4566,-0.0983,7,0.0428
688425.SH,20250930,0.19,0.1381,-0.273,-0.0301,8,0.0153
600999.SH,20250930,0.97,2.1154,1.1808,0.2691,1,0.0305
600827.SH,20250930,0.1654,0.1188,-0.2815,-0.1062,2,0.0067
603077.SH,20250930,0.0117,0.007,-0.4037,-0.1299,1,0.0003
601678.SH,20250930,0.1,0.1989,0.9887,0.5141,24,0.0004
603833.SH,20250930,3.01,3.1415,0.0437,-0.0593,2,0.2571
603587.SH,20250930,0.51,0.5563,0.0908,-0.059,3,0.0287
688659.SH,20250930,0.03,0.0226,-0.2471,0.1514,16,0.0007
600903.SH,20250930,0.04,0.0195,-0.513,0.0069,5,0.001
601997.SH,20250930,1.07,1.641,0.5336,-0.1888,2,0.0414
002993.SZ,20250930,1.3,1.1463,-0.1182,0.1485,2,0.0126
600598.SH,20250930,0.763,1.0672,0.3986,-0.0399,11,0.0013
300228.SZ,20250930,0.2953,0.4355,0.4748,-0.1002,26,0.0071
600537.SH,20250930,-0.18,-0.0938,-0.4787,-0.3635,4,0.0024
300736.SZ,20250930,-0.14,-0.075,-0.4643,-0.093,7,0.0004
300585.SZ,20250930,0.0195,0.0399,1.0486,0.0418,3,0.0009
001219.SZ,20250930,0.48,0.7544,0.5716,0.0599,13,0.0276
300608.SZ,20250930,-0.53,-0.2838,-0.4646,-0.2255,1,0.008
600537.SH,20250930,-0.18,-0.0757,-0.5796,-0.5199,4,0.0043
600863.SH,20250930,0.33,0.6602,1.0005,-0.0898,3,0.0496
600988.SH,20250930,1.14,2.0723,0.8178,0.3793,21,0.1609
300946.SZ,20250930,0.28,0.1587,-0.4332,0.1513,3,0.0015
600006.SH,20250930,0.0508,0.0356,-0.2985,-0.0927,8,0.0011
688533.SH,20250930,0.83,1.6341,0.9688,0.0731,1,0.0962
605018.SH,20250930,0.13,0.0888,-0.3168,-0.1107,6,0.0004
603797.SH,20250930,0.2,0.2144,0.0719,-0.0931,4,0.0016
601006.SH,20250930,0.31,0.2748,-0.1135,0.007,4,0.016
301380.SZ,20250930,0.26,0.3956,0.5214,0.1591,9,0.0133
920082.BJ,20250930,0.4,0.4639,0.1597,-0.0626,5,0.0019
688226.SH,20250930,0.07,0.0416,-0.406,-0.014,2,0.0024
002712.SZ,20250930,-0.0272,-0.0141,-0.4809,0.1658,5,0.0014
920670.BJ,20250930,0.01,0.0053,-0.4745,1.2289,1,0.0002
601696.SH,20250930,0.31,0.4051,0.3067,0.2708,30,0.0234
300950.SZ,20250930,0.47,0.5364,0.1413,-0.0879,1,0.0182
300109.SZ,20250930,0.41,0.2418,-0.4103,-0.1783,1,0.0005
688223.SH,20250930,-0.39,-0.2313,-0.4069,-0.319,2,0.0223
920163.BJ,20250930,0.23,0.1515,-0.3413,0.1791,3,0.0077
688385.SH,20250930,0.4,0.3979,-0.0053,0.1273,11,0.0235
300587.SZ,20250930,-0.05,-0.0275,-0.4493,-0.3169,9,0.0012
300463.SZ,20250930,0.0606,0.029,-0.521,-0.166,3,0.0008
001256.SZ,20250930,0.57,1.186,1.0807,0.0259,4,0.0539
600152.SH,20250930,-0.1122,-0.0592,-0.4721,-0.055,2,0.0022
920056.BJ,20250930,0.62,0.4672,-0.2464,0.0418,4,0.0147
300467.SZ,20250930,0.09,0.0685,-0.2386,-0.0772,6,0.0019
002320.SZ,20250930,0.0852,0.0928,0.0896,0.0226,3,0.0008
600808.SH,20250930,0.01,0.0049,-0.5131,-0.0869,4,0.0002
300173.SZ,20250930,-0.0271,-0.0154,-0.4309,0.0647,30,0.0013
